candidate;party;votes;percent;year;city;runoff;support;job;year_birth;born_city;;incumbent;male;mig_background;population;pop_density;area_industry_pc;area_agricul_pc;area_forest_pc;male;female;unter 15;15-18;18-25;25-40;40-65;65 u.mehr;workers_agricul;workers_manu;workers_service;unemployed;health_care_receivers;asylum_claims;kom_wahl_cdu;kom_wahl_spd;kom_wahl_grüne;kom_wahl_fdp;kom_wahl_afd;kom_wahl_linke;btw_erststimme_pc;disp_income;investment_p_worker;numb_new_flat_allowed;new_flat_sqm_allowed;visits_total;visits_foreigner;feinstaub;rile;lastname_background_density;umfrage
Markus Vogt;Partei;341;0,10;2012;Stuttgart;0;Partei;Student;1985;0;Tübingen;0;1;0;597.939;2.884;7,6;22,9;23,5;294.475;303.464;76.710;15.165;54.551;147.825;193.281;110.407;0.9;90.8;397.9;16.625;12.978;855;24,3;17;25,3;10,9;0;0;0;18.348;21.377;1.316;120.498;3.115.768;891.802;185,8;0;Germany;0,00
Werner Ressdorf;;263;0,10;2012;Stuttgart;0;;Industriekaufmann;1954;0;Rio de Janeiro;0;1;0;597.939;2.884;7,6;22,9;23,5;294.475;303.464;76.710;15.165;54.551;147.825;193.281;110.407;0.9;90.8;397.9;16.625;12.978;855;24,3;17;25,3;10,9;0;0;0;18.348;21.377;1.316;120.498;3.115.768;891.802;185,8;0;Germany;0,00
Dr. Wolfgang Schuster;CDU;78500;43,50;2004;Stuttgart;0;CDU, FDP, FW;Bürgermeister;1949;0;Ulm;1;1;0;590.657;2.849;7,5;24;23,5;290.910;299.747;75.505;15.422;47.969;149.869;196.603;105.289;1.1;101.1;371.9;21.649;10.407;1.278;32,9;22,8;18,7;6,5;0;0;35,1;14.950;14.074;1.607;147.710;2.245.059;633.272;275,9;26;Germany;
Ute Kumpf;SPD;59205;32,80;2004;Stuttgart;0;SPD;MdB;1947;0;Lenting;0;0;0;590.657;2.849;7,5;24;23,5;290.910;299.747;75.505;15.422;47.969;149.869;196.603;105.289;1.1;101.1;371.9;21.649;10.407;1.278;32,9;22,8;18,7;6,5;0;0;35,7;14.950;14.074;1.607;147.710;2.245.059;633.272;275,9;-2;Germany;
Boris Palmer;GRÜNE;38728;21,50;2004;Stuttgart;0;GRÜNE;MdL;1972;0;Waiblingen;0;1;0;590.657;2.849;7,5;24;23,5;290.910;299.747;75.505;15.422;47.969;149.869;196.603;105.289;1.1;101.1;371.9;21.649;10.407;1.278;32,9;22,8;18,7;6,5;0;0;16,2;14.950;14.074;1.607;147.710;2.245.059;633.272;275,9;-10;Jamaica;
Dr. Walter Weiblen;PBC;1890;1,00;2004;Stuttgart;0;PBC;Unternehmensberater;1955;0;Neuenstein;0;1;0;590.657;2.849;7,5;24;23,5;290.910;299.747;75.505;15.422;47.969;149.869;196.603;105.289;1.1;101.1;371.9;21.649;10.407;1.278;32,9;22,8;18,7;6,5;0;0;0,2;14.950;14.074;1.607;147.710;2.245.059;633.272;275,9;0;Germany;
Hennig Zierock;;1027;0,60;2004;Stuttgart;0;;;;;;0;1;0;590.657;2.849;7,5;24;23,5;290.910;299.747;75.505;15.422;47.969;149.869;196.603;105.289;1.1;101.1;371.9;21.649;10.407;1.278;32,9;22,8;18,7;6,5;0;0;0;14.950;14.074;1.607;147.710;2.245.059;633.272;275,9;0;Germany;
Bern Heidelbauer;;939;0,50;2004;Stuttgart;0;;Gastrosoph;1947;1;Stuttgart;0;1;0;590.657;2.849;7,5;24;23,5;290.910;299.747;75.505;15.422;47.969;149.869;196.603;105.289;1.1;101.1;371.9;21.649;10.407;1.278;32,9;22,8;18,7;6,5;0;0;0;14.950;14.074;1.607;147.710;2.245.059;633.272;275,9;0;Austria;
Dr. Wolfgang Schuster;CDU;89663;53,30;2004;Stuttgart;1;CDU, FDP, FW, GRÜNE;Bürgermeister;1949;0;Ulm;0;1;0;590.657;2.849;7,5;24;23,5;290.910;299.747;75.505;15.422;47.969;149.869;196.603;105.289;1.1;101.1;371.9;21.649;10.407;1.278;32,9;22,8;18,7;6,5;0;0;35,1;14.950;14.074;1.607;147.710;2.245.059;633.272;275,9;26;Germany;
Ute Kumpf;SPD;75962;45,20;2004;Stuttgart;1;SPD;MdB;1947;0;Lenting;0;0;0;590.657;2.849;7,5;24;23,5;290.910;299.747;75.505;15.422;47.969;149.869;196.603;105.289;1.1;101.1;371.9;21.649;10.407;1.278;32,9;22,8;18,7;6,5;0;0;35,7;14.950;14.074;1.607;147.710;2.245.059;633.272;275,9;-2;Germany;
