,index,city,party_FDP_gn,seats_FDP_gn,seats_total,party_FDP_bn,seats_FDP_bn,party_CDU_gn,seats_CDU_gn,party_CDU_bn,seats_CDU_bn,party_SPD_gn,seats_SPD_gn,party_SPD_bn,seats_SPD_bn,party_Grüne_gn,seats_Grüne_gn,party_Grüne_bn,seats_Grüne_bn,party_AfD_gn,seats_AfD_gn,party_AfD_bn,seats_AfD_bn,party_Die Linke_gn,seats_Die Linke_gn,party_Die Linke_bn,seats_Die Linke_bn
1596,41,Moerfelden-Walldorf,CDU,8,45,CDU,10,SPD,8,SPD,13,SPD,19,Grüne,13,Grüne,18,SPD,12,FW,4,FW,4,SPD,9,FDP,4
1597,42,Moerfelden-Walldorf,FW,4,45,Grüne,10,CDU,19,Grüne,11,FDP,3,CDU,12,SPD,8,Grüne,9,SPD,12,SPD,12,Die Linke,13,SPD,14
1598,43,Moerfelden-Walldorf,Grüne,9,45,SPD,14,Grüne,8,Die Linke,7,SPD,20,Grüne,14,FW,4,SPD,13,CDU,10,CDU,10,FW,4,Grüne,10
1599,44,Moerfelden-Walldorf,SPD,12,45,Die Linke,7,CDU,20,CDU,6,Die Linke,6,Die Linke,8,Grüne,19,Die Linke,7,Grüne,10,Grüne,10,Die Linke,14,FW,5
1600,0,Muehlheim am Main,CDU,1,45,CDU,1,CDU,1,Grüne,1,SPD,1,CDU,1,CDU,1,CDU,1,CDU,1,CDU,1,CDU,1,CDU,1
1601,1,Muehlheim am Main,SPD,1,45,SPD,1,CDU,2,SPD,1,CDU,1,Grüne,1,Grüne,1,SPD,1,SPD,1,SPD,1,SPD,1,SPD,1
1602,2,Muehlheim am Main,Grüne,1,45,Grüne,1,Grüne,1,Grüne,2,SPD,2,CDU,2,SPD,1,CDU,2,Grüne,1,Grüne,1,Grüne,1,Grüne,1
1603,3,Muehlheim am Main,CDU,2,45,CDU,2,SPD,1,BÜRGER,1,Grüne,1,Grüne,2,CDU,2,Grüne,1,CDU,2,CDU,2,CDU,2,CDU,2
1604,4,Muehlheim am Main,BÜRGER,1,45,BÜRGER,1,CDU,3,SPD,2,CDU,2,CDU,3,Grüne,2,BÜRGER,1,BÜRGER,1,BÜRGER,1,BÜRGER,1,BÜRGER,1
1605,5,Muehlheim am Main,CDU,3,45,CDU,3,BÜRGER,1,Grüne,3,BÜRGER,1,BÜRGER,1,BÜRGER,1,CDU,3,CDU,3,CDU,3,CDU,3,CDU,3
1606,6,Muehlheim am Main,SPD,2,45,SPD,2,CDU,4,SPD,3,SPD,3,CDU,4,CDU,3,SPD,2,SPD,2,SPD,2,SPD,2,SPD,2
1607,7,Muehlheim am Main,Grüne,2,45,Grüne,2,Grüne,2,Grüne,4,CDU,3,Grüne,3,Grüne,3,CDU,4,Grüne,2,Grüne,2,Grüne,2,Grüne,2
1608,8,Muehlheim am Main,CDU,4,45,CDU,4,CDU,5,BÜRGER,2,SPD,4,CDU,5,SPD,2,Grüne,2,CDU,4,CDU,4,CDU,4,CDU,4
1609,9,Muehlheim am Main,CDU,5,45,CDU,5,SPD,2,Grüne,5,Grüne,2,Grüne,4,CDU,4,SPD,3,CDU,5,CDU,5,CDU,5,CDU,5
1610,10,Muehlheim am Main,SPD,3,45,SPD,3,CDU,6,SPD,4,CDU,4,CDU,6,Grüne,4,CDU,5,SPD,3,SPD,3,SPD,3,SPD,3
1611,11,Muehlheim am Main,Grüne,3,45,Grüne,3,CDU,7,Grüne,6,SPD,5,BÜRGER,2,CDU,5,BÜRGER,2,Grüne,3,Grüne,3,Grüne,3,Grüne,3
1612,12,Muehlheim am Main,BÜRGER,2,45,BÜRGER,2,Grüne,3,SPD,5,CDU,5,Grüne,5,BÜRGER,2,CDU,6,BÜRGER,2,BÜRGER,2,BÜRGER,2,BÜRGER,2
1613,13,Muehlheim am Main,CDU,6,45,CDU,6,BÜRGER,2,Grüne,7,BÜRGER,2,CDU,7,Grüne,5,SPD,4,CDU,6,CDU,6,CDU,6,CDU,6
1614,14,Muehlheim am Main,SPD,4,45,SPD,4,CDU,8,BÜRGER,3,SPD,6,CDU,8,SPD,3,CDU,7,SPD,4,SPD,4,SPD,4,SPD,4
1615,15,Muehlheim am Main,Grüne,4,45,Grüne,4,SPD,3,SPD,6,Grüne,3,Grüne,6,CDU,6,Grüne,3,Grüne,4,Grüne,4,Grüne,4,Grüne,4
1616,16,Muehlheim am Main,CDU,7,45,CDU,7,CDU,9,Grüne,8,CDU,6,CDU,9,Grüne,6,BÜRGER,3,CDU,7,CDU,7,CDU,7,CDU,7
1617,17,Muehlheim am Main,CDU,8,45,CDU,8,Grüne,4,SPD,7,SPD,7,BÜRGER,3,CDU,7,CDU,8,CDU,8,CDU,8,CDU,8,CDU,8
1618,18,Muehlheim am Main,SPD,5,45,SPD,5,CDU,10,Grüne,9,CDU,7,Grüne,7,Grüne,7,SPD,5,SPD,5,SPD,5,SPD,5,SPD,5
1619,19,Muehlheim am Main,Grüne,5,45,Grüne,5,CDU,11,BÜRGER,4,SPD,8,CDU,10,SPD,4,CDU,9,Grüne,5,Grüne,5,Grüne,5,Grüne,5
1620,20,Muehlheim am Main,BÜRGER,3,45,BÜRGER,3,SPD,4,CDU,1,Grüne,4,CDU,11,CDU,8,Grüne,4,BÜRGER,3,BÜRGER,3,BÜRGER,3,BÜRGER,3
1621,21,Muehlheim am Main,CDU,9,45,CDU,9,BÜRGER,3,Grüne,10,CDU,8,Grüne,8,BÜRGER,3,SPD,6,CDU,9,CDU,9,CDU,9,CDU,9
1622,22,Muehlheim am Main,CDU,10,45,CDU,10,CDU,12,SPD,8,BÜRGER,3,CDU,12,Grüne,8,CDU,10,CDU,10,CDU,10,CDU,10,CDU,10
1623,23,Muehlheim am Main,SPD,6,45,SPD,6,Grüne,5,Grüne,11,SPD,9,BÜRGER,4,CDU,9,BÜRGER,4,SPD,6,SPD,6,SPD,6,SPD,6
1624,24,Muehlheim am Main,Grüne,6,45,Grüne,6,CDU,13,SPD,9,SPD,10,Grüne,9,SPD,5,CDU,11,Grüne,6,Grüne,6,Grüne,6,Grüne,6
1625,25,Muehlheim am Main,CDU,11,45,CDU,11,SPD,5,BÜRGER,5,CDU,9,CDU,13,Grüne,9,SPD,7,CDU,11,CDU,11,CDU,11,CDU,11
1626,26,Muehlheim am Main,BÜRGER,4,45,BÜRGER,4,CDU,14,Grüne,12,SPD,11,Grüne,10,CDU,10,Grüne,5,BÜRGER,4,BÜRGER,4,BÜRGER,4,BÜRGER,4
1627,27,Muehlheim am Main,SPD,7,45,SPD,7,Grüne,6,SPD,10,Grüne,5,CDU,14,BÜRGER,4,CDU,12,SPD,7,SPD,7,SPD,7,SPD,7
1628,28,Muehlheim am Main,CDU,12,45,CDU,12,CDU,15,Grüne,13,CDU,10,CDU,15,Grüne,10,BÜRGER,5,CDU,12,CDU,12,CDU,12,CDU,12
1629,29,Muehlheim am Main,Grüne,7,45,Grüne,7,BÜRGER,4,SPD,11,BÜRGER,4,Grüne,11,CDU,11,SPD,8,Grüne,7,Grüne,7,Grüne,7,Grüne,7
1630,30,Muehlheim am Main,CDU,13,45,CDU,13,CDU,16,Grüne,14,SPD,12,BÜRGER,5,SPD,6,CDU,13,CDU,13,CDU,13,CDU,13,CDU,13
1631,31,Muehlheim am Main,SPD,8,45,SPD,8,SPD,6,BÜRGER,6,CDU,11,CDU,16,Grüne,11,CDU,14,SPD,8,SPD,8,SPD,8,SPD,8
1632,32,Muehlheim am Main,Grüne,8,45,Grüne,8,Grüne,7,Grüne,15,SPD,13,Grüne,12,CDU,12,Grüne,6,Grüne,8,Grüne,8,Grüne,8,Grüne,8
1633,33,Muehlheim am Main,CDU,14,45,CDU,14,CDU,17,SPD,12,Grüne,6,CDU,17,Grüne,12,SPD,9,CDU,14,CDU,14,CDU,14,CDU,14
1634,34,Muehlheim am Main,BÜRGER,5,45,BÜRGER,5,CDU,18,Grüne,16,CDU,12,CDU,18,CDU,13,CDU,15,BÜRGER,5,BÜRGER,5,BÜRGER,5,BÜRGER,5
1635,35,Muehlheim am Main,CDU,15,45,CDU,15,CDU,19,SPD,13,SPD,14,Grüne,13,SPD,7,BÜRGER,6,CDU,15,CDU,15,CDU,15,CDU,15
1636,36,Muehlheim am Main,SPD,9,45,SPD,9,SPD,7,BÜRGER,7,CDU,13,BÜRGER,6,BÜRGER,5,CDU,16,SPD,9,SPD,9,SPD,9,SPD,9
1637,37,Muehlheim am Main,Grüne,9,45,Grüne,9,Grüne,8,Grüne,17,BÜRGER,5,CDU,19,Grüne,13,SPD,10,Grüne,9,Grüne,9,Grüne,9,Grüne,9
1638,38,Muehlheim am Main,CDU,16,45,CDU,16,BÜRGER,5,SPD,14,SPD,15,Grüne,14,CDU,14,Grüne,7,CDU,16,CDU,16,CDU,16,CDU,16
1639,39,Muehlheim am Main,SPD,10,45,SPD,10,CDU,20,Grüne,18,Grüne,7,CDU,20,CDU,15,CDU,17,SPD,10,SPD,10,SPD,10,SPD,10
1640,40,Muehlheim am Main,CDU,17,45,CDU,17,CDU,21,BÜRGER,8,CDU,14,Grüne,15,Grüne,14,BÜRGER,7,CDU,17,CDU,17,CDU,17,CDU,17
1641,41,Muehlheim am Main,Grüne,10,45,Grüne,10,Grüne,9,SPD,15,SPD,16,CDU,21,SPD,8,SPD,11,Grüne,10,Grüne,10,Grüne,10,Grüne,10
1642,42,Muehlheim am Main,BÜRGER,6,45,BÜRGER,6,CDU,22,Grüne,19,CDU,15,SPD,1,CDU,16,CDU,18,BÜRGER,6,BÜRGER,6,BÜRGER,6,BÜRGER,6
1643,43,Muehlheim am Main,CDU,18,45,CDU,18,SPD,8,CDU,2,SPD,17,BÜRGER,7,BÜRGER,6,Grüne,8,CDU,18,CDU,18,CDU,18,CDU,18
1644,44,Muehlheim am Main,SPD,11,45,SPD,11,CDU,23,Grüne,20,Grüne,8,CDU,22,Grüne,15,CDU,19,SPD,11,SPD,11,SPD,11,SPD,11
1645,0,Neu-Isenburg,CDU,1,45,CDU,1,SPD,1,Grüne,1,CDU,1,Grüne,1,CDU,1,SPD,1,CDU,1,CDU,1,CDU,1,CDU,1
1646,1,Neu-Isenburg,Grüne,1,45,SPD,1,Grüne,1,SPD,1,Grüne,1,CDU,1,Grüne,1,CDU,1,Grüne,1,Grüne,1,Grüne,1,SPD,1
1647,2,Neu-Isenburg,SPD,1,45,Grüne,1,CDU,1,Grüne,2,SPD,1,Grüne,2,SPD,1,SPD,2,SPD,1,SPD,1,SPD,1,Grüne,1
1648,3,Neu-Isenburg,CDU,2,45,CDU,2,SPD,2,FDP,1,CDU,2,CDU,2,CDU,2,CDU,2,CDU,2,CDU,2,CDU,2,CDU,2
1649,4,Neu-Isenburg,Grüne,2,45,SPD,2,Grüne,2,AfD,1,Grüne,2,Grüne,3,Grüne,2,FDP,1,Grüne,2,Grüne,2,Grüne,2,SPD,2
1650,5,Neu-Isenburg,SPD,2,45,Grüne,2,CDU,2,SPD,2,SPD,2,FDP,1,SPD,2,Grüne,1,SPD,2,SPD,2,SPD,2,Grüne,2
1651,6,Neu-Isenburg,CDU,3,45,CDU,3,FDP,1,Grüne,3,CDU,3,CDU,3,FDP,1,AfD,1,FDP,1,CDU,3,FDP,1,FDP,1
1652,7,Neu-Isenburg,FDP,1,45,AfD,1,SPD,3,SPD,3,FDP,1,AfD,1,CDU,3,SPD,3,CDU,3,FDP,1,CDU,3,CDU,3
1653,8,Neu-Isenburg,Grüne,3,45,SPD,3,Grüne,3,Grüne,4,Grüne,3,Grüne,4,Grüne,3,CDU,3,Grüne,3,Grüne,3,Grüne,3,SPD,3
1654,9,Neu-Isenburg,SPD,3,45,Grüne,3,CDU,3,FDP,2,AfD,1,Die Linke,1,SPD,3,FW,1,SPD,3,SPD,3,SPD,3,Grüne,3
1655,10,Neu-Isenburg,AfD,1,45,CDU,4,AfD,1,AfD,2,CDU,4,CDU,4,AfD,1,SPD,4,AfD,1,CDU,4,Die Linke,1,CDU,4
1656,11,Neu-Isenburg,CDU,4,45,SPD,4,SPD,4,Die Linke,1,SPD,3,Grüne,5,CDU,4,CDU,4,CDU,4,Grüne,4,AfD,1,AfD,1
1657,12,Neu-Isenburg,Grüne,4,45,Grüne,4,Grüne,4,SPD,4,Grüne,4,CDU,5,Grüne,4,FDP,2,Grüne,4,SPD,4,CDU,4,SPD,4
1658,13,Neu-Isenburg,SPD,4,45,Die Linke,1,Die Linke,1,Grüne,5,Die Linke,1,Grüne,6,SPD,4,SPD,5,SPD,4,CDU,5,Grüne,4,Grüne,4
1659,14,Neu-Isenburg,Die Linke,1,45,CDU,5,CDU,4,FW,1,CDU,5,FDP,2,Die Linke,1,Grüne,2,Die Linke,1,Die Linke,1,SPD,4,CDU,5
1660,15,Neu-Isenburg,CDU,5,45,SPD,5,FW,1,CDU,1,FW,1,CDU,6,CDU,5,Die Linke,1,CDU,5,FW,1,CDU,5,FW,1
1661,16,Neu-Isenburg,FW,1,45,FW,1,SPD,5,Grüne,6,Grüne,5,FW,1,FW,1,CDU,5,FW,1,Grüne,5,FW,1,SPD,5
1662,17,Neu-Isenburg,Grüne,5,45,Grüne,5,FDP,2,SPD,5,SPD,4,AfD,2,Grüne,5,AfD,2,Grüne,5,SPD,5,Grüne,5,Grüne,5
1663,18,Neu-Isenburg,SPD,5,45,CDU,6,Grüne,5,Grüne,7,CDU,6,Grüne,7,SPD,5,SPD,6,SPD,5,CDU,6,SPD,5,FDP,2
1664,19,Neu-Isenburg,CDU,6,45,AfD,2,CDU,5,FDP,3,FDP,2,CDU,7,FDP,2,CDU,6,FDP,2,FDP,2,FDP,2,CDU,6
1665,20,Neu-Isenburg,FDP,2,45,SPD,6,SPD,6,AfD,3,Grüne,6,Grüne,8,CDU,6,FDP,3,CDU,6,Grüne,6,CDU,6,CDU,7
1666,21,Neu-Isenburg,Grüne,6,45,Grüne,6,Grüne,6,SPD,6,CDU,7,Die Linke,2,Grüne,6,SPD,7,Grüne,6,CDU,7,Grüne,6,SPD,6
1667,22,Neu-Isenburg,CDU,7,45,CDU,7,CDU,6,Grüne,8,SPD,5,CDU,8,SPD,6,FW,2,CDU,7,SPD,6,CDU,7,Grüne,6
1668,23,Neu-Isenburg,SPD,6,45,SPD,7,AfD,2,SPD,7,AfD,2,Grüne,9,CDU,7,CDU,7,SPD,6,CDU,8,SPD,6,CDU,8
1669,24,Neu-Isenburg,AfD,2,45,Grüne,7,SPD,7,Grüne,9,Grüne,7,FDP,3,AfD,2,SPD,8,AfD,2,Grüne,7,Die Linke,2,SPD,7
1670,25,Neu-Isenburg,CDU,8,45,CDU,8,Grüne,7,FDP,4,CDU,8,CDU,9,CDU,8,Grüne,3,CDU,8,SPD,7,AfD,2,Grüne,7
1671,26,Neu-Isenburg,Grüne,7,45,SPD,8,CDU,7,AfD,4,SPD,6,Grüne,10,Grüne,7,AfD,3,Grüne,7,CDU,9,CDU,8,AfD,2
1672,27,Neu-Isenburg,SPD,7,45,Grüne,8,FDP,3,Die Linke,2,Grüne,8,AfD,3,SPD,7,CDU,8,SPD,7,FDP,3,Grüne,7,FDP,3
1673,28,Neu-Isenburg,CDU,9,45,CDU,9,SPD,8,SPD,8,CDU,9,CDU,10,FDP,3,SPD,9,FDP,3,Grüne,8,SPD,7,CDU,9
1674,29,Neu-Isenburg,Grüne,8,45,AfD,3,Grüne,8,Grüne,10,FDP,3,Grüne,11,CDU,9,FDP,4,CDU,9,SPD,8,FDP,3,SPD,8
1675,30,Neu-Isenburg,SPD,8,45,Die Linke,2,Die Linke,2,SPD,9,Die Linke,2,CDU,11,Grüne,8,SPD,10,Grüne,8,CDU,10,CDU,9,Grüne,8
1676,31,Neu-Isenburg,Die Linke,2,45,SPD,9,CDU,8,Grüne,11,CDU,10,Grüne,12,SPD,8,CDU,9,SPD,8,Die Linke,2,Grüne,8,CDU,10
1677,32,Neu-Isenburg,FDP,3,45,Grüne,9,SPD,9,FW,2,Grüne,9,FDP,4,Die Linke,2,Grüne,4,Die Linke,2,Grüne,9,SPD,8,SPD,9
1678,33,Neu-Isenburg,CDU,10,45,CDU,10,Grüne,9,CDU,2,SPD,7,Die Linke,3,CDU,10,Die Linke,2,CDU,10,SPD,9,CDU,10,Grüne,9
1679,34,Neu-Isenburg,Grüne,9,45,SPD,10,CDU,9,FDP,5,CDU,11,CDU,12,Grüne,9,SPD,11,Grüne,9,FW,2,Grüne,9,FW,2
1680,35,Neu-Isenburg,SPD,9,45,FW,2,FW,2,AfD,5,FW,2,FW,2,SPD,9,CDU,10,SPD,9,CDU,11,SPD,9,CDU,11
1681,36,Neu-Isenburg,FW,2,45,CDU,11,SPD,10,Grüne,12,Grüne,10,Grüne,13,FW,2,AfD,4,FW,2,Grüne,10,FW,2,SPD,10
1682,37,Neu-Isenburg,CDU,11,45,Grüne,10,FDP,4,SPD,10,AfD,3,AfD,4,CDU,11,FDP,5,CDU,11,SPD,10,Die Linke,3,Grüne,10
1683,38,Neu-Isenburg,AfD,3,45,SPD,11,AfD,3,Grüne,13,SPD,8,CDU,13,AfD,3,FW,3,Grüne,10,CDU,12,CDU,11,FDP,4
1684,39,Neu-Isenburg,Grüne,10,45,CDU,12,Grüne,10,SPD,11,CDU,12,Grüne,14,Grüne,10,SPD,12,AfD,3,FDP,4,AfD,3,CDU,12
1685,40,Neu-Isenburg,SPD,10,45,AfD,4,CDU,10,Grüne,14,FDP,4,CDU,14,SPD,10,CDU,11,SPD,10,Grüne,11,Grüne,10,AfD,3
1686,41,Neu-Isenburg,CDU,12,45,Grüne,11,SPD,11,FDP,6,Grüne,11,Grüne,15,FDP,4,SPD,13,FDP,4,SPD,11,SPD,10,SPD,11
1687,42,Neu-Isenburg,Grüne,11,45,SPD,12,Grüne,11,AfD,6,CDU,13,FDP,5,CDU,12,Grüne,5,CDU,12,CDU,13,FDP,4,CDU,13
1688,43,Neu-Isenburg,SPD,11,45,CDU,13,CDU,11,Die Linke,3,SPD,9,CDU,15,Grüne,11,CDU,12,Grüne,11,Grüne,12,CDU,12,Grüne,11
1689,44,Neu-Isenburg,CDU,13,45,Grüne,12,SPD,12,SPD,12,Grüne,12,Grüne,16,SPD,11,FDP,6,SPD,11,CDU,14,Grüne,11,CDU,14
1690,0,Nidda,CDU,1,37,CDU,1,CDU,1,SPD,1,CDU,1,CDU,1,CDU,1,CDU,1,CDU,1,CDU,1,CDU,1,CDU,1
1691,1,Nidda,SPD,1,37,SPD,1,CDU,2,Bürger Liste Nidda,1,SPD,1,Grüne,1,SPD,1,SPD,1,SPD,1,SPD,1,SPD,1,SPD,1
1692,2,Nidda,Bürger Liste Nidda,1,37,Bürger Liste Nidda,1,Bürger Liste Nidda,1,CDU,1,Bürger Liste Nidda,1,Bürger Liste Nidda,1,Bürger Liste Nidda,1,Bürger Liste Nidda,1,Bürger Liste Nidda,1,Bürger Liste Nidda,1,Bürger Liste Nidda,1,Bürger Liste Nidda,1
1693,3,Nidda,Grüne,1,37,Grüne,1,SPD,1,Grüne,1,Grüne,1,CDU,2,Grüne,1,CDU,2,Grüne,1,Grüne,1,Grüne,1,Grüne,1
1694,4,Nidda,CDU,2,37,CDU,2,Grüne,1,SPD,2,CDU,2,Die Linke,1,CDU,2,SPD,2,CDU,2,CDU,2,CDU,2,CDU,2
1695,5,Nidda,SPD,2,37,SPD,2,CDU,3,Die Linke,1,SPD,2,SPD,1,SPD,2,Bürger Liste Nidda,2,SPD,2,SPD,2,Die Linke,1,SPD,2
1696,6,Nidda,Die Linke,1,37,Die Linke,1,CDU,4,Bürger Liste Nidda,2,Die Linke,1,Grüne,2,Die Linke,1,Die Linke,1,Die Linke,1,Die Linke,1,SPD,2,Bürger Liste Nidda,2
1697,7,Nidda,Bürger Liste Nidda,2,37,Bürger Liste Nidda,2,Die Linke,1,CDU,2,Bürger Liste Nidda,2,CDU,3,Bürger Liste Nidda,2,Grüne,1,Bürger Liste Nidda,2,Bürger Liste Nidda,2,Bürger Liste Nidda,2,CDU,3
1698,8,Nidda,CDU,3,37,CDU,3,Bürger Liste Nidda,2,Grüne,2,CDU,3,Bürger Liste Nidda,2,Grüne,2,CDU,3,CDU,3,CDU,3,CDU,3,Grüne,2
1699,9,Nidda,Grüne,2,37,Grüne,2,SPD,2,SPD,3,SPD,3,CDU,4,CDU,3,SPD,3,Grüne,2,Grüne,2,Grüne,2,SPD,3
1700,10,Nidda,SPD,3,37,SPD,3,CDU,5,Bürger Liste Nidda,3,Grüne,2,Grüne,3,CDU,4,Bürger Liste Nidda,3,SPD,3,SPD,3,SPD,3,CDU,4
1701,11,Nidda,CDU,4,37,CDU,4,Grüne,2,CDU,3,CDU,4,Bürger Liste Nidda,3,SPD,3,CDU,4,CDU,4,CDU,4,CDU,4,Bürger Liste Nidda,3
1702,12,Nidda,Bürger Liste Nidda,3,37,Bürger Liste Nidda,3,CDU,6,Grüne,3,Bürger Liste Nidda,3,CDU,5,Bürger Liste Nidda,3,SPD,4,Bürger Liste Nidda,3,Bürger Liste Nidda,3,Bürger Liste Nidda,3,CDU,5
1703,13,Nidda,CDU,5,37,CDU,5,Bürger Liste Nidda,3,SPD,4,SPD,4,Die Linke,2,Grüne,3,Bürger Liste Nidda,4,CDU,5,CDU,5,Die Linke,2,SPD,4
1704,14,Nidda,Grüne,3,37,Grüne,3,SPD,3,Die Linke,2,CDU,5,SPD,2,CDU,5,CDU,5,Grüne,3,Grüne,3,CDU,5,Grüne,3
1705,15,Nidda,SPD,4,37,SPD,4,CDU,7,Bürger Liste Nidda,4,Die Linke,2,Grüne,4,SPD,4,Die Linke,2,SPD,4,SPD,4,Grüne,3,Bürger Liste Nidda,4
1706,16,Nidda,Die Linke,2,37,Die Linke,2,Grüne,3,CDU,4,Grüne,3,CDU,6,Die Linke,2,Grüne,2,Die Linke,2,Die Linke,2,SPD,4,CDU,6
1707,17,Nidda,Bürger Liste Nidda,4,37,Bürger Liste Nidda,4,CDU,8,Grüne,4,SPD,5,Bürger Liste Nidda,4,Bürger Liste Nidda,4,CDU,6,Bürger Liste Nidda,4,Bürger Liste Nidda,4,Bürger Liste Nidda,4,SPD,5
1708,18,Nidda,CDU,6,37,CDU,6,Die Linke,2,SPD,5,Bürger Liste Nidda,4,CDU,7,Grüne,4,SPD,5,CDU,6,CDU,6,CDU,6,Die Linke,1
1709,19,Nidda,SPD,5,37,SPD,5,Bürger Liste Nidda,4,Bürger Liste Nidda,5,CDU,6,Grüne,5,CDU,6,Bürger Liste Nidda,5,SPD,5,SPD,5,SPD,5,CDU,7
1710,20,Nidda,Grüne,4,37,Grüne,4,CDU,9,CDU,5,SPD,6,Bürger Liste Nidda,5,SPD,5,CDU,7,Grüne,4,Grüne,4,CDU,7,Bürger Liste Nidda,5
1711,21,Nidda,CDU,7,37,CDU,7,SPD,4,Grüne,5,CDU,7,Die Linke,3,CDU,7,SPD,6,CDU,7,CDU,7,Grüne,4,Grüne,4
1712,22,Nidda,Bürger Liste Nidda,5,37,Bürger Liste Nidda,5,CDU,10,SPD,6,Bürger Liste Nidda,5,CDU,8,Bürger Liste Nidda,5,Bürger Liste Nidda,6,Bürger Liste Nidda,5,Bürger Liste Nidda,5,Bürger Liste Nidda,5,SPD,6
1713,23,Nidda,SPD,6,37,SPD,6,Bürger Liste Nidda,5,Die Linke,3,Grüne,4,SPD,3,Grüne,5,Die Linke,3,SPD,6,SPD,6,Die Linke,3,CDU,8
1714,24,Nidda,CDU,8,37,CDU,8,Grüne,4,Bürger Liste Nidda,6,SPD,7,Grüne,6,CDU,8,Grüne,3,CDU,8,CDU,8,SPD,6,Bürger Liste Nidda,6
1715,25,Nidda,Die Linke,3,37,Die Linke,3,CDU,11,CDU,6,CDU,8,CDU,9,SPD,6,CDU,8,Die Linke,3,Die Linke,3,CDU,8,CDU,9
1716,26,Nidda,Bürger Liste Nidda,6,37,Bürger Liste Nidda,6,SPD,5,SPD,7,Die Linke,3,Bürger Liste Nidda,6,Die Linke,3,SPD,7,Bürger Liste Nidda,6,Bürger Liste Nidda,6,Bürger Liste Nidda,6,SPD,7
1717,27,Nidda,Grüne,5,37,Grüne,5,CDU,12,Grüne,6,Bürger Liste Nidda,6,CDU,10,Bürger Liste Nidda,6,Bürger Liste Nidda,7,Grüne,5,Grüne,5,Grüne,5,Grüne,5
1718,28,Nidda,CDU,9,37,CDU,9,Die Linke,3,Bürger Liste Nidda,7,SPD,8,Grüne,7,Grüne,6,CDU,9,CDU,9,CDU,9,CDU,9,CDU,10
1719,29,Nidda,SPD,7,37,SPD,7,Bürger Liste Nidda,6,SPD,8,CDU,9,Die Linke,4,CDU,9,SPD,8,SPD,7,SPD,7,SPD,7,Bürger Liste Nidda,7
1720,30,Nidda,CDU,10,37,CDU,10,CDU,13,CDU,7,Grüne,5,Bürger Liste Nidda,7,SPD,7,Bürger Liste Nidda,8,CDU,10,CDU,10,Die Linke,4,SPD,8
1721,31,Nidda,Bürger Liste Nidda,7,37,Bürger Liste Nidda,7,Grüne,5,Grüne,7,SPD,9,CDU,11,Bürger Liste Nidda,7,CDU,10,Bürger Liste Nidda,7,Bürger Liste Nidda,7,CDU,10,CDU,11
1722,32,Nidda,Grüne,6,37,Grüne,6,SPD,6,Die Linke,4,Bürger Liste Nidda,7,SPD,4,CDU,10,Die Linke,4,Grüne,6,Grüne,6,Bürger Liste Nidda,7,Grüne,6
1723,33,Nidda,SPD,8,37,SPD,8,CDU,14,SPD,9,CDU,10,Grüne,8,Grüne,7,Grüne,4,SPD,8,SPD,8,Grüne,6,Bürger Liste Nidda,8
1724,34,Nidda,Die Linke,4,37,Die Linke,4,Bürger Liste Nidda,7,Bürger Liste Nidda,8,Die Linke,4,CDU,12,SPD,8,SPD,9,Die Linke,4,Die Linke,4,SPD,8,SPD,9
1725,35,Nidda,CDU,11,37,CDU,11,CDU,15,CDU,8,Grüne,6,Bürger Liste Nidda,8,Die Linke,4,CDU,11,CDU,11,CDU,11,CDU,11,CDU,12
1726,36,Nidda,Bürger Liste Nidda,8,37,Bürger Liste Nidda,8,Grüne,6,Grüne,8,SPD,10,CDU,13,CDU,11,Bürger Liste Nidda,9,Bürger Liste Nidda,8,Bürger Liste Nidda,8,Bürger Liste Nidda,8,Bürger Liste Nidda,9
1727,0,Nidderau,CDU,1,37,CDU,1,CDU,1,Grüne,1,SPD,1,CDU,1,Grüne,1,CDU,1,CDU,1,CDU,1,CDU,1,CDU,1
1728,1,Nidderau,SPD,1,37,SPD,1,CDU,2,SPD,1,CDU,1,Grüne,1,CDU,1,SPD,1,SPD,1,SPD,1,SPD,1,SPD,1
1729,2,Nidderau,Grüne,1,37,Grüne,1,CDU,3,CDU,1,SPD,2,CDU,2,Grüne,2,Grüne,1,Grüne,1,Grüne,1,Grüne,1,Grüne,1
1730,3,Nidderau,CDU,2,37,CDU,2,Grüne,1,Grüne,2,Grüne,1,Grüne,2,SPD,1,CDU,2,CDU,2,CDU,2,CDU,2,CDU,2
1731,4,Nidderau,SPD,2,37,SPD,2,CDU,4,SPD,2,SPD,3,CDU,3,Grüne,3,SPD,2,SPD,2,SPD,2,SPD,2,SPD,2
1732,5,Nidderau,Grüne,2,37,Grüne,2,SPD,1,FW,1,CDU,2,Grüne,3,CDU,2,Grüne,2,Grüne,2,Grüne,2,Grüne,2,Grüne,2
1733,6,Nidderau,FW,1,37,CDU,3,CDU,5,Grüne,3,SPD,4,FW,1,Grüne,4,FW,1,CDU,3,CDU,3,CDU,3,CDU,3
1734,7,Nidderau,CDU,3,37,FW,1,CDU,6,CDU,2,FW,1,CDU,4,FW,1,CDU,3,FW,1,FW,1,FW,1,FW,1
1735,8,Nidderau,SPD,3,37,SPD,3,Grüne,2,SPD,3,CDU,3,Grüne,4,Grüne,5,SPD,3,SPD,3,SPD,3,SPD,3,SPD,3
